,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_3_SEACell-0,3,1,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_3_SEACell-1,3,1,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_3_SEACell-10,3,1,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_3_SEACell-11,3,1,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_3_SEACell-12,3,1,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_3_SEACell-13,3,1,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_3_SEACell-14,3,1,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_3_SEACell-15,3,1,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_3_SEACell-16,3,1,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_3_SEACell-17,3,1,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_3_SEACell-18,3,1,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_3_SEACell-19,3,1,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_3_SEACell-2,3,1,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_3_SEACell-3,3,1,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_3_SEACell-4,3,1,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_3_SEACell-5,3,1,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_3_SEACell-6,3,1,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_3_SEACell-7,3,1,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_3_SEACell-8,3,1,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_3_SEACell-9,3,1,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_7_SEACell-0,7,2,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_7_SEACell-1,7,2,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_7_SEACell-10,7,2,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_7_SEACell-11,7,2,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_7_SEACell-12,7,2,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
